Date,Time,Open,High,Low,Close,Volume
2016.10.31,0:00,1.09844,1.09899,1.09353,1.09763,100371
2016.11.01,0:00,1.0976,1.10686,1.09594,1.10567,114220
2016.11.02,0:00,1.10568,1.11225,1.1049,1.10949,129920
2016.11.03,0:00,1.10953,1.11253,1.10591,1.11052,125384
2016.11.04,0:00,1.11053,1.11408,1.10792,1.11398,117329
2016.11.07,0:00,1.1063,1.11096,1.10268,1.10397,115631
2016.11.08,0:00,1.10397,1.10664,1.10082,1.10254,107643
2016.11.09,0:00,1.10254,1.12989,1.09066,1.09089,295133
2016.11.10,0:00,1.09089,1.0953,1.08644,1.08911,180863
2016.11.11,0:00,1.08908,1.09228,1.083,1.08527,171803
2016.11.14,0:00,1.0834,1.08399,1.07086,1.07361,192688
2016.11.15,0:00,1.07359,1.0816,1.07136,1.0721,167092
2016.11.16,0:00,1.07205,1.07589,1.06657,1.06903,148276
2016.11.17,0:00,1.06899,1.07449,1.06192,1.06268,145132
2016.11.18,0:00,1.06259,1.06423,1.05686,1.05864,165311
2016.11.21,0:00,1.05919,1.06486,1.05779,1.06269,150976
2016.11.22,0:00,1.06269,1.06573,1.05832,1.06252,141306
2016.11.23,0:00,1.06253,1.06431,1.05257,1.05527,139574
2016.11.24,0:00,1.05532,1.05849,1.05182,1.05514,118295
2016.11.25,0:00,1.0551,1.06268,1.05378,1.05879,139574
2016.11.28,0:00,1.06099,1.06849,1.0563,1.0613,158636
2016.11.29,0:00,1.06125,1.06538,1.05644,1.06489,139529
2016.11.30,0:00,1.06487,1.0666,1.05521,1.05879,157747
2016.12.01,0:00,1.05873,1.06682,1.05839,1.06605,157346
2016.12.02,0:00,1.06603,1.06894,1.06246,1.06633,147176
2016.12.05,0:00,1.06131,1.07958,1.05048,1.07631,199405
2016.12.06,0:00,1.07632,1.07847,1.06979,1.07167,129734
2016.12.07,0:00,1.07174,1.07678,1.07094,1.07522,113282
2016.12.08,0:00,1.0752,1.08727,1.05968,1.06142,153288
2016.12.09,0:00,1.06137,1.06292,1.05304,1.05588,121676
2016.12.12,0:00,1.05338,1.06511,1.05247,1.06339,121372
2016.12.13,0:00,1.06339,1.06665,1.06032,1.0624,117339
2016.12.14,0:00,1.06255,1.06694,1.04957,1.0533,136214
2016.12.15,0:00,1.05334,1.05383,1.03659,1.04126,187417
2016.12.16,0:00,1.04126,1.04735,1.04001,1.04444,146216
2016.12.19,0:00,1.04378,1.0479,1.0392,1.04025,131285
2016.12.20,0:00,1.04025,1.04174,1.03518,1.03879,111243
2016.12.21,0:00,1.03879,1.04505,1.03819,1.04226,104075
2016.12.22,0:00,1.04227,1.04986,1.0422,1.04357,118770
2016.12.23,0:00,1.04354,1.04684,1.04261,1.04529,90173
2016.12.26,0:00,1.04509,1.04668,1.04373,1.04514,95650
2016.12.27,0:00,1.04515,1.04627,1.04316,1.0455,85242
2016.12.28,0:00,1.04563,1.04792,1.03716,1.04109,103269
2016.12.29,0:00,1.04107,1.04932,1.04079,1.04892,121680
2016.12.30,0:00,1.04873,1.06527,1.04823,1.05564,141889
2017.01.02,0:00,1.05132,1.0523,1.04495,1.04539,90346
2017.01.03,0:00,1.04533,1.04897,1.03399,1.04052,139838
2017.01.04,0:00,1.04046,1.04993,1.03895,1.04886,144743
2017.01.05,0:00,1.04886,1.06147,1.04804,1.06052,191438
2017.01.06,0:00,1.0605,1.0621,1.05244,1.05288,151959
2017.01.09,0:00,1.05299,1.05823,1.05103,1.05723,130459
2017.01.10,0:00,1.05721,1.06266,1.05503,1.05537,153757
2017.01.11,0:00,1.05533,1.06225,1.04533,1.05819,195906
2017.01.12,0:00,1.05821,1.06842,1.05713,1.06113,196655
2017.01.13,0:00,1.06119,1.06736,1.05956,1.06423,155655
2017.01.16,0:00,1.06052,1.06354,1.05788,1.05995,122265
2017.01.17,0:00,1.05997,1.07188,1.05962,1.07129,188942
2017.01.18,0:00,1.07127,1.07148,1.06279,1.0629,151233
2017.01.19,0:00,1.06283,1.06762,1.05885,1.06631,170861
2017.01.20,0:00,1.06629,1.07091,1.06247,1.06989,168661
2017.01.23,0:00,1.07,1.07681,1.06934,1.07629,150526
2017.01.24,0:00,1.07629,1.07744,1.07198,1.07307,144448
2017.01.25,0:00,1.07306,1.07694,1.07109,1.07467,143402
2017.01.26,0:00,1.07467,1.07652,1.06572,1.06824,149713
